Country_code, Year, Conflit, 
KEN, 1976, 0.0, 
BFO, 1983, 0.0, 
PAK, 1979, 1.0, 
RUS, 1976, 0.0, 
EGY, 1951, 0.0, 
COL, 1953, 0.0, 
SAF, 1963, 0.0, 
GRG, 2008, 0.0, 
HON, 1975, 1.0, 
VFR, 1954, 1.0, 
VEN, 1963, 1.0, 
USA, 1965, 1.0, 
LIB, 1983, 0.0, 
IND, 1964, 0.0, 
NEW, 2018, 1.0, 
HAI, 1976, 0.0, 
USA, 1961, 1.0, 
NIR, 1986, 1.0, 
TUR, 2012, 0.0, 
LEB, 1982, 1.0, 
CHA, 1978, 1.0, 
IRN, 2018, 0.0, 
MYA, 1960, 0.0, 
POL, 1979, 0.0, 
IND, 1987, 1.0, 
CAM, 1957, 1.0, 
YPR, 1979, 1.0, 
IRQ, 1981, 0.0, 
VFR, 1977, 1.0, 
UKG, 1977, 1.0, 
ANG, 1992, 1.0, 
VEN, 1981, 0.0, 
CHN, 1962, 1.0, 
NIR, 1977, 1.0, 
NIR, 1985, 0.0, 
IND, 2014, 1.0, 
LEB, 1986, 1.0, 
SWD, 1981, 1.0, 
SOM, 1980, 1.0, 
SYR, 1976, 1.0, 
SOM, 1982, 1.0, 
GMY, 1981, 0.0, 
ZAM, 1975, 1.0, 
LIB, 1978, 1.0, 
OMA, 1964, 1.0, 
IRN, 1986, 1.0, 
ISR, 1960, 1.0, 
EGY, 1964, 1.0, 
VEN, 2002, 0.0, 
NIC, 1984, 0.0, 
CHN, 1979, 0.0, 
USA, 1957, 1.0, 
HON, 1989, 1.0, 
GHA, 1960, 1.0, 
KUW, 1990, 0.0, 
ARM, 2012, 1.0, 
JOR, 1956, 1.0, 
BEL, 1960, 1.0, 
MOR, 1981, 0.0, 
CHA, 2009, 0.0, 
EGY, 2002, 0.0, 
SYR, 1957, 0.0, 
TAZ, 1978, 1.0, 
UGA, 1987, 0.0, 
PAK, 2019, 0.0, 
VEN, 2019, 0.0, 
BOL, 1973, 1.0, 
UGA, 2015, 0.0, 
ARG, 2015, 0.0, 
NIG, 1993, 1.0, 
TAW, 1981, 1.0, 
QAT, 1989, 1.0, 
TAZ, 1971, 0.0, 
HON, 1981, 1.0, 
HON, 1983, 0.0, 
KUW, 1985, 1.0, 
CAM, 2008, 0.0, 
SEN, 1985, 0.0, 
MLT, 1980, 1.0, 
UKG, 1999, 1.0, 
ISR, 1968, 0.0, 
USA, 1950, 1.0, 
CHN, 1954, 1.0, 
HON, 1953, 1.0, 
ROK, 2009, 0.0, 
DRC, 1965, 0.0, 
GDR, 1961, 1.0, 
SYR, 1973, 1.0, 
CHN, 1958, 0.0, 
LEB, 1963, 1.0, 
BUI, 1985, 1.0, 
ECU, 1957, 0.0, 
GHA, 1967, 1.0, 
ETH, 1980, 1.0, 
SYR, 1981, 1.0, 
USA, 1970, 1.0, 
GRC, 1967, 1.0, 
GMY, 1981, 0.0, 
MLT, 1981, 0.0, 
OMA, 1971, 1.0, 
KUW, 1961, 0.0, 
DRC, 1975, 1.0, 
USA, 1983, 0.0, 
INS, 1999, 1.0, 
PAK, 1961, 1.0, 
CUB, 1951, 0.0, 
ARG, 1981, 0.0, 
INS, 1996, 0.0, 
LEB, 1996, 1.0, 
MEX, 1969, 0.0, 
NEW, 1971, 1.0, 
UKG, 1951, 1.0, 
EGY, 1955, 1.0, 
PER, 1958, 0.0, 
ALB, 2006, 0.0, 
KEN, 1987, 1.0, 
BAH, 1981, 1.0, 
BEL, 1978, 1.0, 
UKG, 2002, 1.0, 
THI, 1989, 0.0, 
