Country_code,Year,Conflict
BAH,1986,1.0
SYR,2016,1.0
CYP,1987,1.0
BFO,1992,1.0
NIR,1983,0.0
CUB,1976,0.0
SOM,1977,0.0
GDR,1953,1.0
VEN,1963,0.0
LIB,1984,1.0
GDR,1961,1.0
SYR,2013,1.0
BUL,1987,0.0
SWZ,1977,0.0
RUS,1950,1.0
TUN,1980,0.0
CDI,1993,0.0
TOG,1977,0.0
MEX,1965,0.0
ROK,1969,0.0
HAI,1963,0.0
MOR,1979,1.0
SYR,1964,1.0
USA,1953,1.0
SAL,1976,0.0
SAL,1986,0.0
PAK,2002,0.0
SUD,2005,1.0
ZAM,1986,1.0
RUM,2016,0.0
GUI,1965,1.0
USA,1968,1.0
NIC,1978,1.0
INS,1975,1.0
MOR,1980,0.0
GUA,1975,0.0
AFG,1979,1.0
VEN,1961,1.0
ZAM,1978,1.0
YPR,1979,0.0
YPR,1981,0.0
TUN,1957,0.0
BEL,1954,1.0
HON,1969,0.0
SAU,1974,1.0
COL,1973,0.0
USA,1969,1.0
EGY,1973,1.0
IRN,2006,1.0
RUS,2017,1.0
SUD,2003,1.0
CHN,1978,1.0
LEB,1996,1.0
NOR,1979,0.0
CHN,1998,1.0
ARG,1978,1.0
COS,1968,0.0
OMA,1973,0.0
NAM,1998,0.0
IRQ,2005,1.0
ISR,1993,1.0
ETH,1977,1.0
USA,1979,1.0
PRK,1971,1.0
BFO,2014,0.0
LEB,1958,1.0
LES,1999,0.0
USA,1973,1.0
JOR,1957,1.0
USA,1984,1.0
GUA,1958,0.0
MYA,1994,0.0
RVN,1970,1.0
USA,2016,1.0
EGY,1956,0.0
SOM,1986,1.0
GUI,1976,0.0
RUS,1989,1.0
CUB,1961,1.0
EGY,1961,1.0
NEW,1961,0.0
SYR,1951,1.0
ETH,1998,1.0
UGA,1964,1.0
IND,1965,1.0
VEN,1978,0.0
UKG,1990,0.0
BFO,1965,1.0
EGY,2019,1.0
VEN,1963,0.0
ROK,2009,1.0
RVN,1969,1.0
OMA,1980,0.0
KEN,1979,1.0
UGA,1974,1.0
THI,1965,0.0
LEB,1993,1.0
IRN,2006,1.0
ANG,1998,1.0
TUR,1957,1.0
SUD,1983,1.0
VEN,1960,1.0
BNG,1978,0.0
NIG,1981,1.0
KEN,1971,1.0
MAA,1964,0.0
NIC,1988,1.0
CAM,1991,1.0
BAH,1985,0.0
UGA,1971,1.0
NIR,1963,0.0
SAU,1955,1.0
JPN,1995,0.0
QAT,2009,1.0
SUD,1958,0.0
EGY,1980,0.0
POL,1980,1.0
BOT,1983,1.0
PAK,2017,1.0
NIC,1984,1.0
